Code,Company,Date,Type,Quantity,Unit Price ($),Trade Value ($),Brokerage+GST ($),GST ($),Total Value ($)
WBT,WEEBIT NANO LTD FPO (ORDINARY FULLY PAID),19/1/21,Buy,1000,3.65,3650,19.95,1.81,3669.95
WBT,WEEBIT NANO LTD FPO (ORDINARY FULLY PAID),21/1/21,Sell,-1000,4.11,-4110,19.95,1.81,-4090.05
